,ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE,hr_adj,date_time,day_of_week,holidays
209,UPS795,1,B752,6000,SAT,White,NO,San Antonio,Texas,3,10-02-16 3:10,Tuesday,FALSE
210,JENA55,1,C182,4000,HWD,Green,NO,Hayward,California,4,10-02-16 4:09,Tuesday,FALSE
211,QXE545,1,CRJ7,5500,SJC,Green,NO,San Jose,California,5,10-02-17 5:24,Wednesday,FALSE
212,JBU828,2,A320,3000,SNA,Green,NO,Santa Ana,California,6,10-02-17 6:03,Wednesday,FALSE
213,SWA1491,1,B735,1500,FLL,Green/White,NO,Fort Lauderdale,Florida,2,10-02-17 2:00,Wednesday,FALSE
214,JENA55,1,C182,4000,HWD,Green,NO,Hayward,California,2,10-02-17 2:29,Wednesday,FALSE
215,PMS1675,1,C208,2500,ICT,Green,NO,Wichita,Kansas,2,10-02-17 2:21,Wednesday,FALSE
216,FDX1338,1,B722,3000,MEM,Green,NO,Memphis,Tennessee,4,10-02-17 4:17,Wednesday,FALSE
217,SKW6048,1,CRJ2,3000,M30,Green,NO,Metropolis,Illinois,4,10-02-17 4:30,Wednesday,FALSE
218,CJC9551,1,SF34,3000,TYR,Green,NO,Tyler,Texas,0,10-02-18 0:21,Thursday,FALSE
219,SWA2889,1,B737,4500,SAN,Green,NO,San Diego,California,4,10-02-18 4:50,Thursday,FALSE
220,UAL423,1,B772,1000,SFO,Green,NO,San Francisco,California,6,10-02-18 6:20,Thursday,FALSE
221,N965DS,1,DA40,3500,PHX,UNKN,NO,Phoenix,Arizona,2,10-02-18 2:15,Thursday,FALSE
222,RUF640,1,MU2,4000,MSY,Green,NO,New Orleans ,Louisiana,3,10-02-18 3:30,Thursday,FALSE
223,IFL1015,1,FA20,6000,SDF,Green ,NO,Louisville,Kentucky,5,10-02-19 5:39,Friday,FALSE
224,ASA329,1,B737,UNKN,OLM,Green,NO,Olympia,Washington,4,10-02-19 4:50,Friday,FALSE
225,JBU403,1,A320,3800,MIA,Green,NO,Miami,Florida,0,10-02-19 0:06,Friday,FALSE
226,COA331,1,B738,1000,IAH,Green,NO,Houston,Texas,1,10-02-19 1:36,Friday,FALSE
227,BTA2732,1,E45X,13000,IAH,Green,NO,Houston,Texas,3,10-02-19 3:03,Friday,FALSE
228,N521PF,1,C525,3000,LAS,Green,NO,Las Vegas,Nevada,2,10-02-20 2:20,Saturday,FALSE
229,N424QS,1,GLF4,4000,LAS,Green ,NO,Las Vegas,Nevada,2,10-02-20 2:23,Saturday,FALSE
230,AWE575,1,A321,UNKN,SEA,Green,NO,Seattle,Washington,4,10-02-20 4:05,Saturday,FALSE
231,DAL1489,1,MD88,700,MCO,Green,NO,Orlando,Florida,2,10-02-21 2:50,Sunday,FALSE
232,VVLT624,1,P3,6000,JAX,Green,NO,Jacksonville,Florida,0,10-02-21 0:05,Sunday,FALSE
233,N3188X,1,H25B,4000,BDR,Green,NO,Bridgeport,Connecticut,23,10-02-22 23:07,Monday,FALSE
234,BSO6,1,EC135,500,FLL,Green ,NO,Fort Lauderdale,Florida,1,10-02-22 1:50,Monday,FALSE
235,QXE399,1,DH8D,8000,BOI,Green,NO,Boise,Idaho,4,10-02-23 4:35,Tuesday,FALSE
